(venv) lukas@pi-lukas:~/preisvergleich-scraper $ python main.py --scraper spar --no-upload
spar beilagen-essig-oel-gewuerze page 49/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 50/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 50/74: 32 products (30 new)
spar wurst-fleisch-eier-fisch page 51/53: 32 products (31 new)
spar beilagen-essig-oel-gewuerze page 51/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 52/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 52/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 53/53: 28 products (28 new)
spar wurst-fleisch-eier-fisch total: 1689 products (84 with null SKU)
spar beilagen-essig-oel-gewuerze page 53/74: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 54/74: 32 products (32 new)
spar backen-fruehstueck page 1/41: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 55/74: 32 products (32 new)
spar backen-fruehstueck page 2/41: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 56/74: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 57/74: 32 products (0 new)
  Expected page 58 but got 57 after retries, stopping pagination for beilagen-essig-oel-gewuerze
spar beilagen-essig-oel-gewuerze total: 1786 products (93 with null SKU)
  Expected page 3 but got 1 after retries, stopping pagination for backen-fruehstueck
spar backen-fruehstueck total: 64 products (0 with null SKU)
spar suesses-salziges page 1/67: 32 products (32 new)
spar schnelle-kueche-to-go page 1/103: 32 products (32 new)
spar suesses-salziges page 2/67: 32 products (32 new)
spar schnelle-kueche-to-go page 2/103: 32 products (32 new)
spar suesses-salziges page 3/67: 32 products (32 new)
spar schnelle-kueche-to-go page 3/103: 32 products (32 new)
spar suesses-salziges page 4/67: 32 products (32 new)
spar schnelle-kueche-to-go page 4/103: 32 products (32 new)
spar suesses-salziges page 5/67: 32 products (32 new)
spar schnelle-kueche-to-go page 5/103: 32 products (31 new)
spar suesses-salziges page 6/67: 32 products (32 new)
spar schnelle-kueche-to-go page 6/103: 32 products (32 new)
spar suesses-salziges page 7/67: 32 products (32 new)
spar schnelle-kueche-to-go page 7/103: 32 products (32 new)
spar suesses-salziges page 8/67: 32 products (32 new)
spar schnelle-kueche-to-go page 8/103: 32 products (32 new)
spar suesses-salziges page 9/67: 32 products (32 new)
spar schnelle-kueche-to-go page 9/103: 32 products (32 new)
spar suesses-salziges page 10/67: 32 products (32 new)
spar schnelle-kueche-to-go page 10/103: 32 products (32 new)
spar suesses-salziges page 11/67: 32 products (32 new)
spar schnelle-kueche-to-go page 11/103: 32 products (32 new)
spar suesses-salziges page 12/67: 32 products (32 new)
spar schnelle-kueche-to-go page 12/103: 32 products (32 new)
spar suesses-salziges page 13/67: 32 products (32 new)
spar schnelle-kueche-to-go page 13/103: 32 products (32 new)
spar suesses-salziges page 14/67: 32 products (32 new)
spar schnelle-kueche-to-go page 14/103: 32 products (32 new)
spar suesses-salziges page 15/67: 32 products (32 new)
spar schnelle-kueche-to-go page 15/103: 32 products (32 new)
spar suesses-salziges page 16/67: 32 products (32 new)
spar schnelle-kueche-to-go page 16/103: 32 products (32 new)
spar suesses-salziges page 17/67: 32 products (32 new)
spar schnelle-kueche-to-go page 17/103: 32 products (32 new)
spar suesses-salziges page 18/67: 32 products (32 new)
spar schnelle-kueche-to-go page 18/103: 32 products (32 new)
spar suesses-salziges page 19/67: 32 products (32 new)
spar schnelle-kueche-to-go page 19/103: 32 products (32 new)
spar suesses-salziges page 20/67: 32 products (32 new)
spar schnelle-kueche-to-go page 20/103: 32 products (32 new)
spar suesses-salziges page 21/67: 32 products (32 new)
spar schnelle-kueche-to-go page 21/103: 32 products (32 new)
spar suesses-salziges page 22/67: 32 products (32 new)
spar schnelle-kueche-to-go page 22/103: 32 products (32 new)
